DÉNOMINATION DE LA FORMATION POLITIQUE (1),"LOCALISATION
du siège"
RAUTAHI - RASSEMBLEMENT POUR LA POLYNÉSIE FRANÇAISE,98704
RÉGIONS ET PEUPLES SOLIDAIRES ,22000
RELÈVE    (LA),97441
RÉPUBLIQUE SOLIDAIRE (COURAGE RÉPUBLIQUE) ,75008
RÉSEAU   NOUVELLE   DONNE,75011
RESTAURATION NATIONALE (LA) ,75018
RÉUNION AVENIR UNE AMBITION POUR LA RÉUNION DANS LA FRANCE   ,97438
RÉUSSIR ENSEMBLE EN DORDOGNE PÉRIGORD,24200
RIVE   DROITE ,1210
ROANNE     PASSIONNÉMENT,42300
SAINT-MICHEL-GAUCHE-AVENIR    ,91240
SAVOIE D’AUJOURD’HUI ,73300
SAVOIE PLUS LOIN,73200
SAVOIE POUR TOUS ,73230
"SOLIDARITÉ - LIBERTÉ, JUSTICE ET PAIX ",75007
SOLIDARITÉ ÉCOLOGIE GAUCHE ALTERNATIVE,75011
SOLIDARITÉ ET PROGRÈS ,92114
TAHOERAA     HUIRAATIRA,98713
TARBES    2008,65000
TAVINI HUIRAATIRA NO TE AO MA’OHI (FRONT DE LIBÉRATION DE    POLYNÉSIE),987
TE HONO E TAU I TE HONOAUI ,98713
TE MANA TOA - L’ESPRIT DU GUERRIER ,98709
TE’AVEI’A    ,98709
TIATAU    ,98716
TO TATOU AI’A ,98714
TOULOUSE   AVENIR ,31500
TOULOUSE POUR TOUS,31000
TOURCOING   EN   VALEUR,59200
TRÈFLE-LES NOUVEAUX ÉCOLOGISTES-HOMME NATURE ANIMAUX (LE),13006
UNION CALÉDONIENNE ,98809
UNION DÉMOCRATIQUE BRETONNE,44000
UNION DES CONTRIBUABLES DE FRANCE (L’),58370
UNION DES CONTRIBUABLES D’EUROPE ,92350
UNION DES NON INSCRITS (L’),59300
UNION DES SOCIALISTES POUR MIDI-PYRÉNÉES (L’) ,31400
UNION DES VICTIMES DE L’ÉTAT SOS - SENIORS (L’),75003
UNION ÉLARGIE DES SENIORS (L’),67200
