Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Franck Reynier,Député,Parti Radical/UDI,Parrainage à François Fillon
Pierre Ribeaud,Député,Parti socialiste,Parrainage à Benoît Hamon
Arnaud Richard,Député,Parti Radical/UDI,Parrainage à François Fillon
Alain Richard,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Franck Riester,Député,Les Républicains,Parrainage à Alain Juppé
Eduardo Rihan Cypel,Député,Parti socialiste,N'a parrainé personne
Stéphanie Riocreux,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Dominique Riquet,Député Européen,UDI,N'a parrainé personne
Michèle Rivasi,Député Européen,Europe Écologie Les Verts,N'a parrainé personne
Évelyne Rivollier,Sénateur,Divers gauche,Parrainage à Jean-Luc Mélenchon
Thierry Robert,Député,La politique autrement,Parrainage à Emmanuel Macron
Didier Robert,Sénateur,Les Républicains,Parrainage à François Fillon
Sylvie Robert,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Denys Robiliard,Député,Parti socialiste,Parrainage à Benoît Hamon
Arnaud Robinet,Député,Les Républicains,Parrainage à François Fillon
Gérard Roche,Sénateur,Nouveau Centre/UDI,Parrainage à Emmanuel Macron
François Rochebloine,Député,Force Européenne Démocrate/UDI,Parrainage à François Fillon
Robert Rochefort,Député Européen,Mouvement Démocrate (MoDEM),N'a parrainé personne
Alain Rodet,Député,Parti socialiste,N'a parrainé personne
Marcel Rogemont,Député,Parti socialiste,Parrainage à Benoît Hamon
Gilbert Roger,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Sophie Rohfritsch,Député,Les Républicains,Parrainage à François Fillon
Frédéric Roig,Député,Parti socialiste,Parrainage à Benoît Hamon
Barbara Romagnan,Député,Parti socialiste,Parrainage à Benoît Hamon
Yves Rome,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Gwendal Rouillard,Député,Parti socialiste,N'a parrainé personne
Jean-Louis Roumegas,Député,Europe Écologie Les Verts,Parrainage à Benoît Hamon
René Rouquet,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Rousset,Député,Parti socialiste,N'a parrainé personne
Jean-Yves Roux,Sénateur,Parti socialiste,N'a parrainé personne
Virginie Rozière,Député Européen,Parti Radical de Gauche,Parrainage à Benoît Hamon
Martial Saddier,Député,Les Républicains,Parrainage à François Fillon
Maïna Sage,Député,Tapura Huiraatira/UDI,N'a parrainé personne
Boinali Said,Député,Sans étiquette,Parrainage à Benoît Hamon
Tokia Saïfi,Député Européen,Les Républicains,Parrainage à François Fillon
Stéphane Saint-André,Député,Parti Radical de Gauche,N'a parrainé personne
Paul Salen,Député,Les Républicains,N'a parrainé personne
Rudy Salles,Député,Nouveau Centre/UDI,Parrainage à François Fillon
Anne Sander,Député Européen,Les Républicains,Parrainage à François Fillon
Nicolas Sansu,Député,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Béatrice Santais,Député,Parti socialiste,N'a parrainé personne
André Santini,Député,Force Européenne Démocrate/UDI,Parrainage à François Fillon
Eva Sas,Député,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Bernard Saugey,Sénateur,Les Républicains,Parrainage à François Fillon
Odile Saugues,Député,Parti socialiste,N'a parrainé personne
Gilbert Sauvan,Député,Parti socialiste,Parrainage à Benoît Hamon
René-Paul Savary,Sénateur,Les Républicains,Parrainage à François Fillon
Gilles Savary,Député,Parti socialiste,N'a parrainé personne
Michel Savin,Sénateur,Les Républicains,Parrainage à François Fillon
François Scellier,Député,Les Républicains,Parrainage à François Fillon
Jean-Luc Schaffhauser,Député Européen,Front National,Parrainage à Marine Le Pen
Patricia Schillinger,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Claudine Schmid,Député,Les Républicains,Parrainage à François Fillon
André Schneider,Député,Les Républicains,Parrainage à François Fillon
Roger-Gérard Schwartzenberg,Député,Parti Radical de Gauche,N'a parrainé personne
Gérard Sebaoun,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Marie Sermier,Député,Les Républicains,Parrainage à François Fillon
Gabriel Serville,Député,Parti socialiste guyanais,N'a parrainé personne
Bruno Sido,Sénateur,Les Républicains,Parrainage à François Fillon
Fernand Siré,Député,Les Républicains,Parrainage à François Fillon
Abdourahamane Soilihi,Sénateur,Les Républicains,Parrainage à François Fillon
Thierry Solere,Député,Les Républicains,Parrainage à François Fillon
Julie Sommaruga,Député,Parti socialiste,Parrainage à Benoît Hamon
Michel Sordi,Député,Les Républicains,Parrainage à François Fillon
Éric Straumann,Député,Les Républicains,Parrainage à François Fillon
Claude Sturni,Député,Sans étiquette,Parrainage à François Fillon
Jean-Pierre Sueur,Sénateur,Parti socialiste,N'a parrainé personne
Alain Suguenot,Député,Les Républicains,Parrainage à François Fillon
Simon Sutour,Sénateur,Parti socialiste,N'a parrainé personne
Michèle Tabarot,Député,Les Républicains,Parrainage à François Fillon
Jonas Tahuaitu,Député,UDI,Parrainage à Oscar Temaru
Suzanne Tallard,Député,Parti socialiste,Parrainage à Benoît Hamon
Henri Tandonnet,Sénateur,UDI,N'a parrainé personne
Lionel Tardy,Député,Les Républicains,Parrainage à François Fillon
Catherine Tasca,Sénateur,Parti socialiste,N'a parrainé personne
Jean-Charles Taugourdeau,Député,Les Républicains,Parrainage à François Fillon
Guy Teissier,Député,Les Républicains,Parrainage à François Fillon
Pascal Terrasse,Député,Parti socialiste,N'a parrainé personne
Michel Terrot,Député,Les Républicains,Parrainage à François Fillon
Jean-Marie Tetart,Député,Les Républicains,Parrainage à François Fillon
Lana Tetuanui,Sénateur,Tapura Huiraatira/UDI,N'a parrainé personne
Pascal Thévenot,Député,Les Républicains,Parrainage à François Fillon
Thomas Thévenoud,Député,Sans étiquette,Parrainage à Benoît Hamon
Isabelle Thomas,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Dominique Tian,Député,Les Républicains,Parrainage à François Fillon
Nelly Tocqueville,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Sylvie Tolmont,Député,Parti socialiste,N'a parrainé personne
Jean-Louis Touraine,Député,Parti socialiste,Parrainage à Emmanuel Macron
Jean-Louis Tourenne,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Alain Tourret,Député,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Stéphane Travert,Député,Parti socialiste,Parrainage à Emmanuel Macron
Yannick Trigance,Député,Parti socialiste,Parrainage à Benoît Hamon
André Trillard,Sénateur,Les Républicains,Parrainage à François Fillon
Catherine Troallic,Député,Parti socialiste,Parrainage à Benoît Hamon
Catherine Troendlé,Sénateur,Les Républicains,Parrainage à François Fillon
Mylène Troszczynski,Député Européen,Front National,Parrainage à Marine Le Pen
Jean-Paul Tuaiva,Député,UDI,N'a parrainé personne
Alex Türk,Sénateur,Sans étiquette,Parrainage à Alain Juppé
Cécile Untermaier,Député,Parti socialiste,Parrainage à Benoît Hamon
Daniel Vaillant,Député,Parti socialiste,N'a parrainé personne
Jacques Valax,Député,Parti socialiste,N'a parrainé personne
Raymond Vall,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Manuel Valls,Député,Parti socialiste,N'a parrainé personne
René Vandierendonck,Sénateur,Parti socialiste,N'a parrainé personne
Jean-Marie Vanlerenberghe,Sénateur,Mouvement Démocrate (MoDEM),Parrainage à Emmanuel Macron
François Vannson,Député,Les Républicains,Parrainage à François Fillon
Michel Vaspart,Sénateur,Les Républicains,Parrainage à François Fillon
Alain Vasselle,Sénateur,Les Républicains,Parrainage à François Fillon
Yannick Vaugrenard,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Catherine Vautrin,Député,Les Républicains,Parrainage à François Fillon
Michel Vauzelle,Député,Parti socialiste,Parrainage à Benoît Hamon
Hilarion Vendegou,Sénateur,Rassemblement - Les Républicains,Parrainage à François Fillon
Bernard Vera,Sénateur,Parti Communiste Français,N'a parrainé personne
Francis Vercamer,Député,Nouveau Centre/UDI,Parrainage à François Fillon
Patrice Verchère,Député,Les Républicains,Parrainage à François Fillon
Fabrice Verdier,Député,Parti socialiste,N'a parrainé personne
Marie-Christine Vergiat,Député Européen,Parti Communiste Français,Parrainage à Charlotte Marchandise
Michel Vergnier,Député,Parti socialiste,Parrainage à Benoît Hamon
Michel Vergoz,Sénateur,Parti socialiste,N'a parrainé personne
Jean-Pierre Vial,Sénateur,Les Républicains,N'a parrainé personne
Arnaud Viala,Député,Les Républicains,Parrainage à François Fillon
Jean-Sébastien Vialatte,Député,Les Républicains,Parrainage à François Fillon
Jean-Pierre Vigier,Député,Les Républicains,Parrainage à François Fillon
Philippe Vigier,Député,Nouveau Centre/UDI,Parrainage à François Fillon
Patrick Vignal,Député,Parti socialiste,Parrainage à Emmanuel Macron
François-Xavier Villain,Député,UDI,Parrainage à Nicolas Dupont-Aignan
Jean-Michel Villaumé,Député,Parti socialiste,Parrainage à Emmanuel Macron
Maurice Vincent,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Philippe Vitel,Député,Les Républicains,Parrainage à François Fillon
Jean Jacques Vlody,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean Pierre Vogel,Sénateur,Les Républicains,Parrainage à François Fillon
Michel Voisin,Député,Les Républicains,Parrainage à François Fillon
Jean-Luc Warsmann,Député,Les Républicains,N'a parrainé personne
Dominique Watrin,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Laurent Wauquiez,Député,Les Républicains,Parrainage à François Fillon
Patrick Weiten,Député,UDI,Parrainage à Laurent Hénart
Éric Woerth,Député,Les Républicains,N'a parrainé personne
Évelyne Yonnet,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Richard Yung,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Paola Zanetti,Député,Parti socialiste,Parrainage à Benoît Hamon
Marie-Jo Zimmermann,Député,Les Républicains,Parrainage à François Fillon
François Zocchetto,Sénateur,UDI,Parrainage à François Fillon
Michel Zumkeller,Député,Parti Radical/UDI,N'a parrainé personne
