Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Alain Chatillon,Sénateur,UDI,Parrainage à François Fillon
Aymeric Chauprade,Député Européen,Mouvement des Français Libres,Parrainage à François Fillon
Guy-Michel Chauveau,Député,Divers gauche,N'a parrainé personne
Dominique Chauvel,Député,Parti socialiste,N'a parrainé personne
Pascal Cherki,Député,Parti socialiste,Parrainage à Benoît Hamon
Gérard Cherpion,Député,Les Républicains,Parrainage à François Fillon
Guillaume Chevrollier,Député,Les Républicains,Parrainage à François Fillon
Jacques Chiron,Sénateur,Parti socialiste,N'a parrainé personne
Alain Chrétien,Député,Les Républicains,N'a parrainé personne
Jean-Louis Christ,Député,Les Républicains,N'a parrainé personne
Olivier Cigolotti,Sénateur,Nouveau Centre/UDI,N'a parrainé personne
Dino Cinieri,Député,Les Républicains,Parrainage à François Fillon
Jean-David Ciot,Député,Parti socialiste,N'a parrainé personne
Éric Ciotti,Député,Les Républicains,Parrainage à François Fillon
Alain Claeys,Député,Parti socialiste,Parrainage à Benoît Hamon
Karine Claireaux,Sénateur,Parti socialiste,N'a parrainé personne
Stéphane Claireaux,Député,Parti Radical de Gauche,N'a parrainé personne
Jean-Michel Clément,Député,Parti socialiste,N'a parrainé personne
Marie-Françoise Clergeau,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Cochet,Député,Les Républicains,Parrainage à François Fillon
Laurence Cohen,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Romain Colas,Député,Parti socialiste,Parrainage à Benoît Hamon
Gilbert Collard,Député,Front National,Parrainage à Marine Le Pen
Yvon Collin,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Gérard Collomb,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Pierre-Yves Collombat,Sénateur,Parti socialiste,Parrainage à Jean-Luc Mélenchon
David Comet,Député,Parti socialiste,Parrainage à Emmanuel Macron
François Commeinhes,Sénateur,Les Républicains,Parrainage à François Fillon
Hélène Conway-Mouret,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Jean-François Copé,Député,Les Républicains,Parrainage à François Fillon
Philip Cordery,Député,Parti socialiste,N'a parrainé personne
Jacques Cornano,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Gérard Cornu,Sénateur,Les Républicains,Parrainage à François Fillon
François Cornut-Gentille,Député,Les Républicains,Parrainage à François Fillon
Sergio Coronado,Député,Europe Écologie Les Verts,Parrainage à Jean-Luc Mélenchon
Valérie Corre,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Louis Costes,Député,Les Républicains,Parrainage à François Fillon
Jean-Jacques Cottel,Député,Parti socialiste,Parrainage à Benoît Hamon
Roland Courteau,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Édouard Courtial,Député,Les Républicains,Parrainage à François Fillon
Catherine Coutelle,Député,Parti socialiste,N'a parrainé personne
Jean-Michel Couve,Député,Les Républicains,Parrainage à François Fillon
Jacques Cresta,Député,Parti socialiste,Parrainage à Emmanuel Macron
Pascale Crozon,Député,Parti socialiste,Parrainage à Benoît Hamon
Cécile Cukierman,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Frédéric Cuvillier,Député,Parti socialiste,N'a parrainé personne
Pierre Cuypers,Sénateur,Les Républicains,Parrainage à François Fillon
Mireille D'Ornano,Député Européen,Front National,Parrainage à Marine Le Pen
Seybah Dagoma,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Dallier,Sénateur,Les Républicains,Parrainage à François Fillon
Marie-Christine Dalloz,Député,Les Républicains,Parrainage à François Fillon
René Danesi,Sénateur,Les Républicains,Parrainage à François Fillon
Karine Daniel,Député,Parti socialiste,Parrainage à Benoît Hamon
Yves Daniel,Député,Parti socialiste,Parrainage à Emmanuel Macron
Arnaud Danjean,Député Européen,Les Républicains,Parrainage à François Fillon
Ronan Dantec,Sénateur,Europe Écologie Les Verts,Parrainage à Benoît Hamon
