RASSEMBLEMENT POUR LA FRANCE ET L’INDÉPENDANCE DE L’EUROPE ,Neuilly-sur-Seine  (92200)
RASSEMBLEMENT POUR LA GUADELOUPE FRANÇAISE ET CARAÏBÉENNE ,Sainte-Anne (97180)
RASSEMBLEMENT POUR LA GUYANE DANS LA RÉPUBLIQUE ,Cayenne (97300)
RASSEMBLEMENT POUR LA SOLIDARITÉ ET LA DÉMOCRATIE,Paris (75007)
RASSEMBLEMENT POUR L’ESSONNE (EX-RASSEMBLEMENT POUR LE SUD-ESSONNE),Etampes (91150)
RASSEMBLEMENT    POUR    LEVALLOIS,Levallois-Perret (92300)
RASSEMBLEMENT POUR L’INDÉPENDANCE ET LA SOUVERAINETÉ DE LA FRANCE (EX-ENTENTE SOUVERAINISTE)     ,Paris (75020)
RASSEMBLEMENT UMP (RASSEMBLEMENT POUR LA CALÉDONIE DANS LA RÉPUBLIQUE) ,Nouméa (98845)
RASSEMBLER ET AGIR POUR LE BOULONNAIS ,Boulogne-sur-Mer  (62200)
RASSEMBLER   POUR   AGIR ,Beaumont-sur-Oise (95260)
RAUTAHI - RASSEMBLEMENT POUR LA POLYNÉSIE FRANÇAISE ,Faaa (98704)
RÉCONCILIATION     NATIONALE ,Paris (75008)
RÉGIONS ET PEUPLES SOLIDAIRES ,Toulouse (31000)
RENOUVEAU    ÉCOLOGIQUE ,Marseille (13005)
RENOUVEAU MARMANDAIS ,Marmande (47200)
RENOUVEAU      SOCIALISTE,Abymes (97139)
RÉSEAU NOUVELLE DONNE (EX-UNION POUR LA SEMAINE DE 4 JOURS),Paris (75011)
RÉUNION AVENIR UNE AMBITION POUR LA RÉUNION DANS LA FRANCE,Sainte-Marie (97438)
RÉUSSIR ENSEMBLE EN DORDOGNE PÉRIGORD,Sarlat-la-Canéda (24200)
RIVE     DROITE,Divonne-les-Bains (01220)
SPM     ALLIANCE ,Saint-Pierre-et-Miquelon  (97500)
SAVOIE D’AUJOURD’HUI ,Saint-Jean-de-Maurienne  (73302)
SAVOIE    PLUS    LOIN,Albertville  (73200)
SAVOIE   POUR   TOUS ,Chambéry (73000)
