"DÉNOMINATION
de la formation politique","LOCALISATION
du siège"
PARTI ANTI-SIONISTE,59760
PARTI BRETON,56104
PARTI CHRÉTIEN-DÉMOCRATE,75008
PARTI COMMUNISTE FRANÇAIS,75940
PARTI COMMUNISTE GUADELOUPÉEN,97169
PARTI COMMUNISTE MARTINIQUAIS,97200
PARTI COMMUNISTE RÉUNIONNAIS,97420
PARTI DE GAUCHE,75011
PARTI DE LA RÉSISTANCE,75020
PARTI DE L’ESPOIR,
PARTI DES INDIGÈNES DE LA REPUBLIQUE,93200
PARTI DES LIBERTÉS ,75017
PARTI DES RETRAITÉS INDÉPENDANTS ,75018
PARTI EUROPE DÉMOCRATIE ESPÉRANTO FRANCE ,75017
PARTI LIBÉRAL DÉMOCRATE ,75002
PARTI MOUVEMENT BRETAGNE & PROGRÈS ,29837
PARTI OUVRIER INDÉPENDANT ,75010
PARTI PIRATE,75003
PARTI PIRATE RÉUNIONNAIS ,97435
PARTI POLITIQUE POUR LA POPULATION ,
PARTI POUR LA LIBÉRATION DE LA MARTINIQUE ,97200
PARTI PROGRESSISTE ,97110
PARTI PROGRESSISTE MARTINIQUAIS ,97200
PARTI RADICAL ,75001
PARTI RADICAL DE GAUCHE ,75007
PARTI RÉGIONALISTE   MARTINIQUAIS ,97221
PARTI RÉPUBLICAIN CHRÉTIEN,34440
PARTI SOCIALISTE,75333
PARTI SOCIALISTE GUADELOUPÉEN,97129
PARTI SOCIALISTE GUYANAIS,97300
PARTI SOCIALISTE RÉUNIONNAIS,97490
PARTICIPATION CITOYENNE,69007
PARTICIPATION ET LIBERTÉ,75009
PARTIT OCCITAN,11000
PARTITU DI A NAZIONE CORSA,20000
PASSIONNÉMENT   MARSEILLAIS,13009
PORINETIA ORA,98716
"POUR LA RÉUNION, DE TOUTES NOS FORCES",97438
POUR L’AQUITAINE,33000
POUR MARSEILLE 2014,13001
POUR MULHOUSE,68100
POUR PARIS,75017
POUR PERTUIS AUTREMENT,84120
POUR UNE NOUVELLE DÉMOCRATIE REPRÉSENTATIVE,25000
POUR VIVRE MIEUX EN SAVOIE,73870
PRIMAIRE.ORG,29000
PRIORITÉ DÉMOCRATIE EN FRANCE,73600
RAISMES À VENIR,59590
RASSEMBLEMENT DÉMOCRATIQUE POUR LA MARTINIQUE,97200
RASSEMBLEMENT DES CONTRIBUABLES FRANÇAIS,27130
RASSEMBLEMENT DU PEUPLE VAUDAIS,69120
RASSEMBLEMENT POUR JOUÉ,37300
RASSEMBLEMENT POUR LA CALÉDONIE,98800
RASSEMBLEMENT POUR LA DÉFENSE DES INTÉRÊTS DE LA 3e CIRCONSCRIPTION,97129
RASSEMBLEMENT POUR LA FRANCE,75017
RASSEMBLEMENT POUR LA FRANCE ET L’INDÉPENDANCE DE L’EUROPE,92200
RASSEMBLEMENT POUR LA GUADELOUPE,97100
RASSEMBLEMENT POUR LA SOLIDARITÉ ET LA DÉMOCRATIE,94800
RASSEMBLEMENT POUR LE PEUPLE DE FRANCE,54200
RASSEMBLEMENT POUR L’ESSONNE,91150
RASSEMBLEMENT POUR LEVALLOIS,92300
RASSEMBLEMENT POUR L’INDÉPENDANCE ET LA SOUVERAI- NETÉ DE LA FRANCE,75362
RASSEMBLEMENT RESPECT RÉUNION (RRR),97490
RASSEMBLEMENT UMP (RASSEMBLEMENT POUR LA CALÉDO- NIE DANS LA RÉPUBLIQUE),98845
RASSEMBLER POUR AGIR,95260
RAUTAHI – RASSEMBLEMENT POUR LA POLYNÉSIE FRAN- ÇAISE,98704
RÉGIONS ET PEUPLES SOLIDAIRES,22000
RÉINVENTONS ASNIÈRES,92600
RENOUVEAU FRANÇAIS,49220
RÉPONDRE À GAUCHE AVEC FRANÇOIS HOLLANDE,75015
RÉPUBLIQUE SOLIDAIRE,75006
"RÉPUBLIQUE, ÉCOLOGIE ET SOCIALISME 49",49610
RÉSEAU NOUVELLE DONNE,75011
RÉUNION AVENIR UNE AMBITION POUR LA RÉUNION DANS LA FRANCE,97438
RÉUSSIR ENSEMBLE EN DORDOGNE PÉRIGORD,24200
RIVE DROITE,1210
"RIVE DROITE, RIVE GAUCHE, TOULOUSE LA MÉTROPOLE EUROPÉENNE",31000
ROANNE PASSIONNÉMENT,42300
"ROUGE BANLIEUE, LES PRODUCTEURS DE VILLE EN SEINE- SAINT-DENIS",93300
SAINT-CHAMOND AVANT TOUT,42400
SAINT-MICHEL GAUCHE AVENIR,91240
SAVOIE D’AUJOURD’HUI,73300
SAVOIE PLUS LOIN,73200
SAVOIE POUR TOUS,73230
"SOLIDARITÉ – LIBERTÉ, JUSTICE ET PAIX",75007
SOLIDARITÉ ÉCOLOGIE GAUCHE ALTERNATIVE,75011
SOLIDARITÉ ET PROGRÈS,92114
"SOUVERAINETÉ, INDÉPENDANCE ET LIBERTÉ – SIEL",75020
TAHOERAA HUIRAATIRA,98713
TARBES 2014,65000
TAVINI HUIRAATIRA NO TE AO MA’OHI (FRONT DE LIBÉRATION DE POLYNÉSIE),98716
TE MANA O TE MAU MOTU,
TE MANA TOA – L’ESPRIT DU GUERRIER,98709
TE’AVEI’A,98709
TERRITOIRES EN MOUVEMENT,92200
TOULOUSE AVENIR,31500
TOURCOING EN VALEUR,59200
UGASCO,92700
UN AVENIR MEILLEUR POUR LA POPULATION DE LA RÉUNION DANS LA FRANCE ET DANS L’EUROPE,97490
UNION CENTRISTE DÉMOCRATE,69100
UNION DÉMOCRATE,97410
UNION DÉMOCRATIQUE BRETONNE,44000
UNION DES CITOYENS DÉMOCRATES,13004
UNION DES CONTRIBUABLES DE FRANCE,58370
UNION DES CONTRIBUABLES D’EUROPE,92350
UNION DES DÉMOCRATES ET INDÉPENDANTS,75007
UNION DES NON-INSCRITS,59300
"UNION DES RADICAUX, CENTRISTES, INDÉPENDANTS ET DÉMOCRATES",75005
UNION DES RÉPUBLICAINS DE PROGRÈS,75014
UNION DES SOCIALISTES POUR MIDI-PYRÉNÉES,31400
UNION DES TRAVAILLEURS FRANÇAIS,94200
UNION ÉLARGIE DES SENIORS,67200
UNION POPULAIRE POUR LA LIBÉRATION DE LA GUADELOUPE,97110
UNION POUR AIX,13100
UNION POUR CHÂTILLON,92320
UNION POUR LA DÉMOCRATIE,97150
UNION POUR LA DÉMOCRATIE ET LA PROSPÉRITÉ,69006
UNION POUR LA DÉMOCRATIE FRANÇAISE,75007
UNION POUR LA FRANCE,75007
UNION POUR LA SAVOIE,73000
UNION POUR LA VIIe,95160
UNION POUR L’ALBIGEOIS,81003
UNION POUR L’AVENIR DE MANTES-LA-JOLIE,78200
UNION POUR L’AVENIR DU XVIe SUD,75016
UNION POUR LE PAYS MALOUIN,35400
UNION POUR LE VAL-DE-MARNE – CHRISTIAN CAMBON,94410
UNION POUR LE VAL-D’OISE,95210
UNION POUR SAINT-SÉBASTIEN-SUR-LOIRE,44230
UNION POUR UN MOUVEMENT POPULAIRE,75015
UNION POUR WALLIS ET FUTUNA,98600
UNION RÉPUBLICAINE ET D’ACTIONS COMMUNAUTAIRES,13008
UNION RÉPUBLICAINE LORRAINE,57420
UNION RÉPUBLICAINE POPULAIRE,11100
UNSER LAND,68190
VIENNE AVENIR,86000
VILLENEUVE PASSION,47300
VILLEURBANNE À TOUT CŒUR,69100
VIVE LA RÉPUBLIQUE,75005
VIVEMENT DEMAIN,59560
VIVRE À SCEAUX,92330
VIVRE À SCHŒLCHER,97233
VIVRE ENSEMBLE POUR LE TARN,81500
"VIVRE L’UNION ENSEMBLE À SAINT-MANDÉ - VINCENNES
- FONTENAY-SOUS-BOIS",94160
VIVRE MIEUX,93150
WALWARI,97300
YONNE AVENIR,89150
