Titre,Circonscription,Groupe parlementaire,Parti politique d'adhésion,Type de déclaration,Format de la déclaration,Date de déclaration,Date de publication,Différentiel en jours
Martine Faure,Gironde (12),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,15/09/15,23/12/15,99
Florence Delaunay,Landes (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,25/09/15,23/12/15,89
Nathalie Appéré,Ille-et-Vilaine (2),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,09/10/15,23/12/15,75
Jean-Marie Sermier,Jura (3),Les Républicains,Les Républicains,Modification,Papier,12/10/15,23/12/15,72
Robert Olive,Pyrénées-Orientales (3),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,14/10/15,23/12/15,70
Frédéric Roig,Hérault (4),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,20/10/15,23/12/15,64
Jean-Marie Sermier,Jura (3),Les Républicains,Les Républicains,Modification,Papier,05/11/15,23/12/15,48
Berengère Poletti,Ardennes (1),Les Républicains,Les Républicains,Modification,Papier,19/11/15,23/12/15,34
Francis Hillmeyer,Haut-Rhin (6),Union des Démocrates Indépendants,Nouveau Centre/UDI,Modification,Papier,25/11/15,23/12/15,28
Nathalie Kosciusko-Morizet,Essonne (04),Les Républicains,Les Républicains,Modification,Papier,07/12/15,23/12/15,16
Michèle Delaunay,Gironde (02),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,11/12/15,23/12/15,12
Valérie Fourneyron,Seine-Maritime (01),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,15/12/15,23/12/15,8
Jean-Jacques Candelier,Nord (16),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Papier,07/01/16,08/06/16,153
Jean-Christophe Lagarde,Seine-Saint-Denis (05),Union des Démocrates Indépendants,Force Européenne Démocrate/UDI,Modification,Papier,29/01/16,08/06/16,131
Jean-Patrick Gille,Indre-et-Loire (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,01/02/16,08/06/16,128
Philippe Noguès,Morbihan (6),Non-inscrit,Sans étiquette,Modification,Papier,10/02/16,08/06/16,119
Christophe Priou,Loire-Atlantique (07),Les Républicains,Les Républicains,Modification,Papier,12/02/16,08/06/16,117
Michel Françaix,Oise (3),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,17/02/16,08/06/16,112
Thierry Mariani,Français établis hors de France (11),Les Républicains,Les Républicains,Modification,Papier,17/02/16,08/06/16,112
François-Michel Lambert,Bouches-du-Rhône (10),Socialiste Ecologiste et Républicain,Union des démocrates et écologistes,Modification,Papier,24/02/16,08/06/16,105
Catherine Lemorton,Haute-Garonne (01),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,02/03/16,08/06/16,98
Nathalie Kosciusko-Morizet,Essonne (04),Les Républicains,Les Républicains,Modification,Papier,20/03/16,08/06/16,80
Dominique Le Mèner,Sarthe (5),Les Républicains,Les Républicains,Modification,Papier,24/03/16,08/06/16,76
Sylvain Berrios,Val-de-Marne (01),Les Républicains,Les Républicains,Modification,Papier,31/03/16,08/06/16,69
Martial Saddier,Haute-Savoie (3),Les Républicains,Les Républicains,Modification,Papier,05/04/16,08/06/16,64
Frédéric Cuvillier,Pas-de-Calais (05),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,06/04/16,26/01/17,295
Pouria Amirshahi,Français établis hors de France (09),Non-inscrit,Sans étiquette,Modification,Papier,18/04/16,26/01/17,283
Elisabeth Pochon,Seine-Saint-Denis (08),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,26/04/16,26/01/17,275
Sophie Dion,Haute-Savoie (6),Les Républicains,Les Républicains,Modification,Papier,20/05/16,26/01/17,251
Édouard Courtial,Oise (7),Les Républicains,Les Républicains,Modification,Papier,25/05/16,26/01/17,246
Jean-Charles Taugourdeau,Maine-et-Loire (3),Les Républicains,Les Républicains,Modification,Papier,31/05/16,26/01/17,240
Serge Bardy,Maine-et-Loire (6),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,14/06/16,26/01/17,226
Gaby Charroux,Bouches-du-Rhône (13),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Papier,23/06/16,26/01/17,217
Michel Destot,Isère (03),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,27/06/16,26/01/17,213
Jean-Louis Gagnaire,Loire (2),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,01/07/16,26/01/17,209
