Titre,Mandat parlementaire,Parti politique d'adhésion,Circonscription,Candidat,Candidat
Gérard Cherpion,Député,Les Républicains,Vosges (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
François Vannson,Député,Les Républicains,Vosges (3),Non,Ne se représente pas
Christian Franqueville,Député,Parti socialiste,Vosges (4),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Guillaume Larrivé,Député,Les Républicains,Yonne (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Yves Caullet,Député,Parti socialiste,Yonne (2),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Marie-Louise Fort,Député,Les Républicains,Yonne (3),Non,Ne se représente pas
François de Mazieres,Député,Les Républicains,Yvelines (01),Non,Ne se représente pas
Pascal Thévenot,Député,Les Républicains,Yvelines (02),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Henri Guaino,Député,Les Républicains,Yvelines (03),Non,N'accède pas au second tour
Pierre Lequiller,Député,Les Républicains,Yvelines (04),Non,Ne se représente pas
Jacques Myard,Député,Les Républicains,Yvelines (05),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Pierre Morange,Député,Les Républicains,Yvelines (06),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Arnaud Richard,Député,Parti Radical/UDI,Yvelines (07),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Françoise Descamps-Crosnier,Député,Parti socialiste,Yvelines (08),Non,N'accède pas au second tour
Jean-Marie Tetart,Député,Les Républicains,Yvelines (09),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Frédéric Poisson,Député,Parti Chrétien-Démocrate/Les Républicains,Yvelines (10),Oui,Accède au second tour des législatives sous l'étiquette Divers droite
Benoît Hamon,Député,Parti socialiste,Yvelines (11),Non,N'accède pas au second tour
David Douillet,Député,Les Républicains,Yvelines (12),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
