DÉNOMINATION DE LA FORMATION POLITIQUE,"LOCALISATION
du siège"
RASSEMBLEMENT DES CITOYENS POUR LA REPUBLIQUE,67200
RASSEMBLEMENT   DES   CONTRIBUABLES   FRANÇAIS ,27132
RASSEMBLEMENT POUR LA CALÉDONIE ,98800
RASSEMBLEMENT POUR LA DÉFENSE DES INTÉRÊTS DE LA 3e CIRCONSCRIPTION ,97129
RASSEMBLEMENT   POUR   LA   FRANCE ,75017
RASSEMBLEMENT POUR LA FRANCE ET L’INDÉPENDANCE DE L’EUROPE ,92200
RASSEMBLEMENT POUR LA SOLIDARITÉ ET LA DÉMOCRATIE,94800
RASSEMBLEMENT    POUR    L’ESSONNE ,91150
RASSEMBLEMENT   POUR   LEVALLOIS ,92300
RASSEMBLEMENT POUR L’INDÉPENDANCE ET LA SOUVERAINETÉ DE LA FRANCE,75362
RASSEMBLEMENT RESPECT   RÉUNION RRR ,97490
RASSEMBLEMENT UMP (RASSEMBLEMENT POUR LA CALÉDONIE DANS LA RÉPUBLIQUE),98845
RASSEMBLER   POUR   AGIR ,95260
RAUTAHI - RASSEMBLEMENT POUR LA POLYNÉSIE FRANÇAISE,98704
RÉGIONS   ET   PEUPLES   SOLIDAIRES ,22000
RÉPUBLIQUE      SOLIDAIRE,75010
RÉSEAU   NOUVELLE   DONNE ,75011
RÉUNION AVENIR UNE AMBITION POUR LA RÉUNION DANS LA FRANCE,97438
RÉUSSIR   ENSEMBLE   EN   DORDOGNE-PÉRIGORD,24200
RIVE      DROITE,1210
ROANNE       PASSIONNÉMENT,42300
"ROUGE BANLIEUE, LES PRODUCTEURS DE VILLE EN SEINE-SAINT-DENIS",93300
SAINT-MICHEL-GAUCHE-AVENIR,91240
SAVOIE      D’AUJOURD’HUI ,73300
SAVOIE    PLUS    LOIN,73200
SAVOIE    POUR    TOUS,73230
"SOLIDARITÉ - LIBERTÉ, JUSTICE ET PAIX",75007
SOLIDARITÉ ÉCOLOGIE GAUCHE ALTERNATIVE ,75011
SOLIDARITÉ   ET   PROGRÈS,92114
TAHOERAA     HUIRAATIRA ,98713
TARBES      2008,65000
TAVINI HUIRAATIRA NO TE AO MA’OHI (FRONT DE LIBÉRATION DE POLYNÉSIE) ,987
TE MANA TOA - L’ESPRIT DU GUERRIER ,98709
TE’AVEI’A,98709
TOULOUSE     AVENIR ,31500
TOURCOING   EN   VALEUR ,59200
UN AVENIR MEILLEUR POUR LA POPULATION DE LA RÉUNION DANS LA FRANCE ET DANS L’EUROPE,97490
UNION      CALÉDONIENNE ,98846
UNION    CENTRISTE    DÉMOCRATE,69100
UNION    DÉMOCRATIQUE    BRETONNE ,44000
UNION DES CONTRIBUABLES DE FRANCE ,58370
UNION DES CONTRIBUABLES D’EUROPE ,92350
UNION DES NON-INSCRITS,59300
UNION DES SOCIALISTES POUR MIDI-PYRÉNÉES,31400
UNION DES VICTIMES DE L’ÉTAT SOS - SENIORS ,75001
UNION ÉLARGIE DES SENIORS ,67200
UNION GAULLISTE SOCIALE POUR LES COLOMBIENS « UGASCO »,92700
UNION POPULAIRE POUR LA LIBÉRATION DE LA GUADELOUPE ,97110
UNION POUR AIX,13100
UNION POUR CHÂTILLON,92320
UNION POUR LA DÉMOCRATIE ET LA PROSPÉRITÉ ,69003
UNION POUR LA DÉMOCRATIE FRANÇAISE,75007
UNION POUR LA SAVOIE,73000
UNION POUR LA VIIe,95160
UNION POUR L’ALBIGEOIS,81003
UNION POUR L’AVENIR DE MANTES-LA-JOLIE ,78200
UNION POUR L’AVENIR DU XVIe  SUD ,75016
UNION POUR L’AVEYRON,12340
UNION POUR LE PAYS MALOUIN ,35400
UNION POUR LE VAL-DE-MARNE - CHRISTIAN CAMBON ,94410
UNION POUR LE VAL-D’OISE,95210
UNION   POUR   L’EUROPE   CHRÉTIENNE,31000
UNION POUR MURET ,31600
UNION    POUR    SAINT-SÉBASTIEN-SUR-LOIRE,44230
UNION    POUR    STRASBOURG,67000
UNION POUR UN MOUVEMENT POPULAIRE ,75384
UNION POUR WALLIS ET FUTUNA ,98600
UNION RÉPUBLICAINE ET D’ACTIONS COMMUNAUTAIRES,13008
UNION    RÉPUBLICAINE    LORRAINE,57420
UNION   RÉPUBLICAINE   POPULAIRE   (URP),11100
UNSER     LAND ,68190
VIENNE     AVENIR ,86000
VILLEURBANNE À TOUT CŒUR,69100
VIVE   LA   RÉPUBLIQUE ,75005
VIVRE   À   SCHOELCHER ,97233
VIVRE ENSEMBLE POUR LE TARN ,81500
VIVRE L’UNION ENSEMBLE À SAINT-MANDÉ - VINCENNES - FONTENAY-SOUS-BOIS ,94160
VIVRE     MIEUX ,93150
WALWARI      ,97300
