Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion,
Daniel Percheron,Pas-de-Calais,Sénateur,Parti socialiste,
Marie-Françoise Perol-Dumont,Haute-Vienne,Sénateur,Parti socialiste,
Cédric Perrin,Territoire de Belfort,Sénateur,Les Républicains,
Jackie Pierre,Vosges,Sénateur,Les Républicains,
François Pillet,Cher,Sénateur,Les Républicains,
Xavier Pintat,Gironde,Sénateur,Les Républicains,
Louis Pinton,Indre,Sénateur,Les Républicains,
Jean-Vincent Placé,Essonne,Sénateur,Union des démocrates et écologistes,
Hervé Poher,Pas-de-Calais,Sénateur,Parti socialiste,
Rémy Pointereau,Cher,Sénateur,Les Républicains,
Ladislas Poniatowski,Eure,Sénateur,Les Républicains,
Hugues Portelli,Val-d'Oise,Sénateur,Les Républicains,
Yves Pozzo Di Borgo,Paris,Sénateur,UDI,
Sophie Primas,Yvelines,Sénateur,Les Républicains,
Catherine Procaccia,Val-de-Marne,Sénateur,Les Républicains,
Christine Prunaud,Côtes-d'Armor,Sénateur,Parti Communiste Français,
David Rachline,Var,Sénateur,Front National,
Jean-Pierre Raffarin,Vienne,Sénateur,Les Républicains,
Michel Raison,Haute-Saône,Sénateur,Les Républicains,
Daniel Raoul,Maine-et-Loire,Sénateur,Parti socialiste,
Jean-François Rapin,Pas-de-Calais,Sénateur,Les Républicains,
Stéphane Ravier,Bouches-du-Rhône,Sénateur,Front National,
Claude Raynal,Haute-Garonne,Sénateur,Parti socialiste,
André Reichardt,Bas-Rhin ,Sénateur,Les Républicains,
Daniel Reiner,Meurthe-et-Moselle,Sénateur,Parti socialiste,
Jean-Claude Requier,Lot,Sénateur,Parti Radical de Gauche,
Bruno Retailleau,Vendée,Sénateur,Les Républicains,
Charles Revet,Seine-Maritime,Sénateur,Les Républicains,
Alain Richard,Val-d'Oise,Sénateur,Parti socialiste,
Stéphanie Riocreux,Indre-et-Loire,Sénateur,Parti socialiste,
Évelyne Rivollier,Loire,Sénateur,Divers gauche,
Didier Robert,La Réunion,Sénateur,Les Républicains,
